"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Bike","","0.666666666666667","","2020-11-25","","21544.189453125","188","336","464.356","","0.687682747840881","8.70199966430664","","80","","137","207","","","0.6627017547054","29.87","37","1","0","0","3","","","","","","2","37","2","0","0","0","0","","","","",""
"Cycling","Bike","","","","2020-11-25","","7975.16015625","174","764","234.113","","0.379287511110306","5.84100008010864","","65","","129","153","","","0.752817741376179","20.54","17","3","2","0","0","","","","","","3","4","3","2","1","1","1","","","","",""
"","Bike","","","","2020-11-26","","7942.16015625","175","558","241.92","","0.388748615980148","5.67500019073486","","65","","123","146","","","0.743327505670303","21.15","18","3","0","0","0","","","","","","2","4","4","3","2","1","1","","","","",""
"Base Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 14 (Exercise 1) 2. Alternate Lunge: 3 x 9 (Exercise 5) 3. Step Up: 3 x 8 (Exercise 7) 4. Push Up: 3 x 12 (Exercise 13) 5. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 6. Dumbbell Pullover: 3 x 10 (Exercise 15) 7. Glute Bridge: 3 x 14 (Exercise 18) 8. Side Plank: 3 reps (Exercise 23) 9. Sit-Up: 3 x 10 (Exercise 27) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-11-26","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.281808614730835","0","","","","83","111","","","0.556262184011018","9.36","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Z4 83","Bike","Turbo or road Slightly reduced revovery. Make sure all the intervals are performed in TT position. Don't worry if your power is lower than on the road bike, it's about getting used to effort in the position.","1.11666666666667","","2020-11-26","","28793.3203125","226","410","761.561","","0.937485039234161","8.5310001373291","","71","","136","156","","","0.851637055352609","67.49","29","7","20","1","0","","","","","","10","14","8","20","4","0","0","","","","",""
"Cycling","Bike","","","","2020-11-26","","7950.81005859375","187","737","244.483","","0.365704715251923","6.03900003433228","","67","","131","148","","","0.751711497600361","20.49","14","6","0","0","0","","","","","","2","5","4","2","1","1","0","","","","",""
"Cruising Interval 1","Run","","1.21666666666667","","2020-11-27","","16607.55078125","316","411","1451.414","","1.27573657035828","3.6159999370575","","91","","146","167","","","0.910255980827176","105.15","15","31","10","17","3","","","","","","10","33","16","16","0","","","","","","",""
"2h30 w ST- Aerobic Endurance Ride","Bike","Ride mainly in Z2.","2.5","","2020-11-28","","60438.51171875","214","343","1680.528","","2.18319225311279","7.69000005722046","","74","","132","146","","","0.764161273516433","127.13","102","28","0","0","0","","","","","","1","92","26","12","0","0","0","","","","",""
"1h30 - aerobic endurance ride ~ foundation # 1","Bike","WU - 4 mins @ 60-65% + WU - 1 mins @ 70-80% + 1 mins @ 60-65%. x 3 - MS - 40 mins @ 75% + MS - 20 mins @ 90% + 3 mins @ 75% x 2 + MS - 40 mins @ 75% - CD - 10 mins @ 60-65%. FOCUS: Aerobic Endurance Ride to increase the density of the mitochondria. This ride can be completed by feel, if your feeling good ride high end of zone 2 (use hard gears to accomplish this), or if struggling ride can be done in small ring. Maintain high cadence through (whether high or low zone 2) 80+ rpm. OPTIONS: If you are feeling good you may extend the ride by 30 minutes. However, be considerate of the programme, i.e don't ride hard today if tomorrow is a hard ride. Alternatively, if available ride in a group, however, if pace drops, drop back and put out an attacking effort sprint to re-join the group again.","1.6","","2020-11-29","Coaching Advice: Consider inspiratory muscle training (power breath) to improve the strength of your intercostal muscles.","49029.26171875","217","309","1255.615","","1.60498940944672","8.48600006103516","","73","","103","145","","","0.772147325480343","95.2","34","5","0","0","0","","","","","","1","40","53","2","0","0","0","","","","",""
"Run Off The Bike","Run","Easy/steady run in Z2.","0.333333333333333","","2020-11-29","Running straight off the bike is a time-efficient way to get your sessions done. It also prepares your body for the specific race-day requirements of triathlon.","4849.58984375","324","405","426.646","","0.365240275859833","3.68799996376038","","90","","141","153","","","0.91834907981154","30.12","6","14","2","0","0","","","","","","0","6","15","0","0","","","","","","",""
"Base Phase 1 Week 2","Other","","","","2020-11-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Endurance Ride 45TSS","Bike","Warm Up: 10 mins in Z2, 5 x (30 secs in upper Z2 + 30 secs in low Z2). Main Set: 10 mins in upper Z2 + 60 secs recovery in low Z2, 8 mins in upper Z2 + 60 secs recovery in low Z2, 6 mins in upper Z2 + 60 secs recovery in low Z2, 4 mins in upper Z2 + 60 secs recovery in low Z2, 2 mins in upper Z2. Warm Down: 10 mins in low Z2.","0.983333333333333","","2020-11-30","","30255.0390625","187","285","631.67","","0.937179148197174","8.9680004119873","","77","","123","131","","","0.661317065613285","40.55","56","0","0","0","0","","","","","","3","50","2","0","0","0","0","","","","",""
"Run VO2max 12x90sec + 10min FM","Run","E' un allenamento che ha lo scopo di migliorare il VO2max, agisce principalmente a livello periferico, ma anche l'allenamento cardiaco è coinvolto in modo importante. Importante cercare di mantenere la stessa velocità dalla prima all'ultima ripetuta. Il consiglio è di fare le prime due ""controllando"" la velocità. E' un allenamento che si basa sul metabolismo del lattato, non deve pertanto essere eseguito a digiuno, ma al contrario le scorte di glicogeno muscolare devono essere al meglio. Se eseguito alla mattina va fatta una colazione a base di carboidrati e la sera precedente inserire un primo piatto a cena","1.26333333333333","16089","2020-11-30","DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","12210.150390625","283","440","1063.394","","1.04439389705658","3.24799990653992","","84","","144","169","","","0.930815919475973","90.1","22","7","8","19","5","","","","","","4","8","7","16","9","","","","","","",""
"Base Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Single Leg Squat: 3 x 8 (Exercise 3) 3. Bulgarian Squat: 3 x 10 (Exercise 4) 4. Bench Press: 3 x 10 (Exercise 14) 5. Tricep Kickback: 3 x 10 (Exercise 16) 6. Bent Over Row: 3 x 10 (Exercise 12) 7. Mountain Climber: 3 x 8 (Exercise 24) 8. Reverse Crunch: 3 x 12 (Exercise 28) 9. Plank: 3 reps (Exercise 21) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-12-01","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","",""," *01/12/2020 bruvio . : deadlift 90kg x5 panca 55kg x5 Bent Over Row 40kg x12*","0.570452451705933","0","","","","76","122","","","0.539794354323552","18.16","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"7x2min - M.A.P Efforts","Bike","Warm Up: 10 mins in Z2, 5 x (10 secs in Z5 + 50 secs in low Z2), 3 mins in Z2. Main Set: 7 x (2:10 mins in Z5 + 2:30 min recoveries in low Z2). Warm Down: 8 mins in low Z2.","0.919444444444444","","2020-12-01","M.A.P stands for Maximal Aerobic Power. It refers to the power output you can ride while at your maximal rate of oxygen consumption. These workouts include efforts that are at or just below your M.A.P.","25457.830078125","218","393","673.362","","0.859866380691528","8.22399997711182","","70","","135","162","","","0.84041045090755","60.02","33","5","6","7","0","","","","","","3","31","1","5","9","1","0","","","","",""
"Cycling","Bike","","","","2020-12-01","","7970.3701171875","164","501","223.534","","0.386507779359818","5.72800016403198","","64","","123","148","","","0.674269229037012","17.98","19","3","0","0","0","","","","","","4","5","4","2","1","1","0","","","","",""
"Cycling","Bike","","","","2020-12-01","","8300.6904296875","181","724","253.099","","0.393287479877472","5.86299991607666","","66","","126","148","","","0.780776837420817","23.88","16","5","0","0","0","","","","","","2","5","4","3","1","1","1","","","","",""
"3x10min FMS + FL","Run","","1.35","","2020-12-02","","18626.060546875","320","411","1632.857","","1.41548442840576","3.65499997138977","","90","","150","166","","","0.915384885786214","118.01","7","20","30","27","1","","","","","","6","32","36","10","0","","","","","","",""
"Cycling","Bike","","","","2020-12-02","","15085.41015625","186","557","458.607","","0.692879974842072","6.0479998588562","","64","","129","152","","","0.756297481569523","39.84","29","10","2","0","0","","","","","","4","9","9","6","2","1","0","","","","",""
"Base Phase 1: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 14 (Exercise 1) 2. Alternate Lunge: 3 x 9 (Exercise 5) 3. Step Up: 3 x 8 (Exercise 7) 4. Push Up: 3 x 12 (Exercise 13) 5. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 6. Dumbbell Pullover: 3 x 10 (Exercise 15) 7. Glute Bridge: 3 x 14 (Exercise 18) 8. Side Plank: 3 reps (Exercise 23) 9. Sit-Up: 3 x 10 (Exercise 27) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-12-03","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.73420387506485","0","","","","79","123","","","0.538814766408002","23.43","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2020-12-03","","7916.2001953125","153","514","221.229","","0.410501092672348","5.35699987411499","","59","","117","143","","","0.644921191404749","17.07","19","1","0","0","0","","","","","","4","5","4","1","1","1","0","","","","",""
"4x8minZ4 4 min rec","Bike","Turbo or road Make sure all the intervals are performed in TT position. Don't worry if your power is lower than on the road bike, it's about getting used to effort in the position.","1.25","","2020-12-03","","15841.0595703125","204","382","381.847","","0.519687235355377","8.46700000762939","","74","","135","158","","","0.807750887522348","33.12","18","3","7","2","0","","","","","","8","6","6","7","2","0","0","","","","",""
"Cycling","Bike","","","","2020-12-03","","11958.2900390625","186","666","358.326","","0.542098879814148","6.12799978256226","","65","","133","155","","","0.764280737359435","31.13","21","8","2","0","0","","","","","","4","7","7","3","2","2","1","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 2 x (100 FS Breathe every 3 in Z2 + 5 sec rests), 1 x (100 Pull in Z2 + 100 Drill in Z2 + 5 secs rest), 2 x (100 FS Breathe every 5 in Z2 + 5 sec rests). Main Set: 2 x (300 FS in Z2 + 50 FS in Z4 + 5 sec rests), 2 x (200 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 2 x (50 FS in Z2 + 50 FS in Z4 + 5 sec rests), 1 x (100 Pull in Z2 + 50 FS in Z4 + 5 secs rest). Warm Down: 1 x (150 Choice in Z2).","0.701666666666667","2400","2020-12-04","","2250","","","","","0.585752223332723","1.05832549388523","","30","","133","153","","","1.0136538562701","61.01","23","11","1","0","0","","","","","","","","","","","","","","","","",""
"10x(400v/400p)","Run","Warm-up: - Start easy and gradually build up into mid to high Z2. - After 10"" include 4x ""30 sec. progressions into upper Z4 or Z5 with 2"" normal Z2 running in between Main Set: - 10x 400m veloce / 400m piano defa","0.916666666666667","","2020-12-04","","4173.16015625","306","392","362.251","","0.328513890504837","3.52900004386902","","90","","143","156","","","0.873717812172247","24.47","2","14","4","0","0","","","","","","2","13","2","2","0","","","","","","",""
"Track Running","Run","","","","2020-12-04","","9190","330","399","798.21","","0.671253859996796","3.80299997329712","","92","","151","160","","","0.939727538906789","58.61","2","2","26","11","0","","","","","","0","13","21","6","0","","","","","","",""
"2h30 w ST- Aerobic Endurance Ride","Bike","Ride mainly in Z2.","2.65","","2020-12-05","","76139.578125","214","352","1977.358","","2.57150316238403","8.22500038146973","","70","","133","146","","","0.760389922797452","148.36","119","35","0","0","0","","","","","","2","97","44","10","0","0","0","","","","",""
"1h30 - aerobic endurance ride ~ foundation # 1","Bike","WU - 4 mins @ 60-65% + WU - 1 mins @ 70-80% + 1 mins @ 60-65%. x 3 - MS - 40 mins @ 75% + MS - 20 mins @ 90% + 3 mins @ 75% x 2 + MS - 40 mins @ 75% - CD - 10 mins @ 60-65%. FOCUS: Aerobic Endurance Ride to increase the density of the mitochondria. This ride can be completed by feel, if your feeling good ride high end of zone 2 (use hard gears to accomplish this), or if struggling ride can be done in small ring. Maintain high cadence through (whether high or low zone 2) 80+ rpm. OPTIONS: If you are feeling good you may extend the ride by 30 minutes. However, be considerate of the programme, i.e don't ride hard today if tomorrow is a hard ride. Alternatively, if available ride in a group, however, if pace drops, drop back and put out an attacking effort sprint to re-join the group again.","1.6","","2020-12-06","Coaching Advice: Consider inspiratory muscle training (power breath) to improve the strength of your intercostal muscles.","50202.8515625","203","310","1168.694","","1.60052907466888","8.71300029754639","","75","","131","143","","","0.717944154041276","82.24","89","7","0","0","0","","","","","","2","70","23","1","0","0","0","","","","",""
"Run Off The Bike","Run","Easy/steady run in Z2.","0.333333333333333","","2020-12-06","","4443.3798828125","315","387","390.444","","0.34341499209404","3.59400010108948","","91","","141","151","","","0.893933443523097","26.78","6","10","5","0","0","","","","","","0","12","8","0","0","","","","","","",""
"Base Phase 1 Week 4. Active Recovery.","Other","","","","2020-12-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"warm up","Run","BT: Track. Warm up +4 strides. Then 5 x 1000m (recover for 500m) at 5 seconds/400 <5k pace. Form! Quick cadence! heart rates? Times?","0.25","","2020-12-07","","2087.88989257813","293","351","181.014","","0.170947507023811","3.39299988746643","","89","","140","160","","","0.834979310527365","11.38","3","3","2","2","0","","","","","","1","9","0","0","0","","","","","","",""
"12x2min10s @ VO2maxPace + 10min FM","Run","Warm-up: - Start easy and gradually build up into mid to high Z2. - After 10"" include 4x ""30 sec. progressions into upper Z4 or Z5 with 2"" normal Z2 running in between Main Set: - 15x 1"" @VO2max pace / 1"" very easy jogging. It should feel very hard but doable. Try to find the pace that you can sustain throughout the whole series of intervals without going to your absolute limit. You should be able to do 1 or 2 reps after the last one (but do not do it!) Try do jog easily in the rest periods, avoid standing. Long cool down: - at least 15min of easy running in Z2 or Z1. Your heartrate will be higher due to the effort you've done before but make sure that is does not rise any further but stays level or, even better, slowly drops. You can extent it up to 30min when you are well trained.","1.16666666666667","","2020-12-07","","12990","281","430","1127.555"," *07/12/2020 bruvio . : solo 6minuti FM*","1.11259245872498","3.24300003051758","","83","","140","167","","","0.924450407475312","94.34","21","8","11","17","4","","","","","","7","6","7","25","3","","","","","","",""
"Swimm Aerobico da 200m","Swim","N.B. Il tempo di esecuzione dell'allenamento è solo indicativo RISCALDAMENTO 100m facili riscaldamento 300m tecnica (vedere in fondo per gli esercizi) PARTE CENTRALE 10x50m B1 rec. 15” 8x200m A2 rec. 20"" defa ------------------------------------------------------- TECNICA Pugni Chiusi La nuotata a pugni chiusi serve a sensibilizzare la trazione della bracciata cercando di porre l'attenzione sulla trazione esercitata dall'avambraccio Video (https://youtu.be/o0ffl059C1Q) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Sculling Questo esercizio serve ad aumentare la sensibilità all'acqua Video (https://youtu.be/3WYyowAvb5U) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Stile sul fianco Lo scopo è di mantenere il corretto assetto dutante il ciclo di bracciata, si dovrebbe contare fino a cinque e poi cambiare il braccio, dopo aver effettuato la respirazione Video fare solo primo esercizio (https://www.youtube.com/watch?v=nzWzZb1niIQ) Rotazioni Lo scopo dell'esercizio è accentuare la rotazione delle spalle Video (https://www.youtube.com/watch?v=j_7wx06VsSM) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Catch Up Esercizio per esercitare l'intero ciclo di bracciata Video (https://youtu.be/g7-xnvc3ap8) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Finger drag Lo scopo è effettuare il recupero tenendo il gomito alto e vicino al corpo Video (https://youtu.be/LQQQ15NUazc) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo)","0.666666666666667","2500","2020-12-07","","2475","","","","","0.643304447068108","1.06268784886217","","30","","132","154","","","1.01526579363262","67.32","29","8","1","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2020-12-08","","8023.31005859375","172","523","241.766","","0.39695417881012","5.61399984359741","","64","","122","145","","","0.708888771442147","19.97","20","1","0","0","0","","","","","","4","6","4","2","1","1","0","","","","",""
"Base Phase 1: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 12 (Exercise 1) 2. Single Leg Squat: 3 x 8 (Exercise 3) 3. Bulgarian Squat: 3 x 10 (Exercise 4) 4. Bench Press: 3 x 10 (Exercise 14) 5. Tricep Kickback: 3 x 10 (Exercise 16) 6. Bent Over Row: 3 x 10 (Exercise 12) 7. Mountain Climber: 3 x 8 (Exercise 24) 8. Reverse Crunch: 3 x 12 (Exercise 28) 9. Plank: 3 reps (Exercise 21) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2020-12-08","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.655405819416046","0","","","","74","116","","","0.539399944346384","20.9","1","0","0","0","0","","","","","","","","","","","","","","","","",""
"2/3/4/5 pyramid - Speed Workout Bike","Bike","Warm Up: 10 mins in mid Z2. Main Set: 2 mins in upper Z4 + 60 secs recovery in Z1, 3 mins in upper Z4 + 90 secs recovery in Z1, 4 mins in upper Z4 + 2 mins recovery in Z1, 5 mins in upper Z4 + 3 mins recovery in Z1, 4 mins in upper Z4 + 2 mins recovery in Z1, 3 mins in upper Z4 + 90 secs recovery in Z1, 2 mins in upper Z4. Warm Down: 5 mins low Z2.","0.833333333333333","","2020-12-08","","24982.330078125","218","364","656.902","","0.839857518672943","8.26299953460693","","80","","138","160","","","0.851735795854912","60.4","26","4","9","11","0","","","","","","15","12","2","15","6","0","0","","","","",""
"Cycling","Bike","","","","2020-12-08","","7998.52978515625","144","812","216.381","","0.430843323469162","5.15700006484985","","58","","127","155","","","0.64075879873971","17.97","20","2","2","0","0","","","","","","3","6","3","2","1","1","1","","","","",""
"Swimm Soglia (2x4x100m) – 2800","Swim","N.B. Il tempo di esecuzione dell'allenamento è solo indicativo RISCALDAMENTO 100m facili riscaldamento 300m tecnica (vedere in fondo per gli esercizi) PARTE CENTRALE 6x50m B1 rec. 15” 2x200m A2 rec. 30” 4x100m Da fare in B1 rec. 15"" 100m facili a piacere 4x100m Da fare in B1 rec. 15"" defa ------------------------------------------------------- TECNICA Pugni Chiusi La nuotata a pugni chiusi serve a sensibilizzare la trazione della bracciata cercando di porre l'attenzione sulla trazione esercitata dall'avambraccio Video (https://youtu.be/o0ffl059C1Q) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Sculling Questo esercizio serve ad aumentare la sensibilità all'acqua Video (https://youtu.be/3WYyowAvb5U) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Stile sul fianco Lo scopo è di mantenere il corretto assetto dutante il ciclo di bracciata, si dovrebbe contare fino a cinque e poi cambiare il braccio, dopo aver effettuato la respirazione Video fare solo primo esercizio (https://www.youtube.com/watch?v=nzWzZb1niIQ) Rotazioni Lo scopo dell'esercizio è accentuare la rotazione delle spalle Video (https://www.youtube.com/watch?v=j_7wx06VsSM) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Catch Up Esercizio per esercitare l'intero ciclo di bracciata Video (https://youtu.be/g7-xnvc3ap8) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo) Finger drag Lo scopo è effettuare il recupero tenendo il gomito alto e vicino al corpo Video (https://youtu.be/LQQQ15NUazc) Eseguire l'esercizio per 2 volte (25m esercizio+25m completo)","0.565833333333333","2200","2020-12-09","","2200","","","","","0.565904448032379","1.07632093933464","","30","","143","169","","","1.02588971967638","61.1","11","10","8","5","1","","","","","","","","","","","","","","","","","3"
"Cycling","Bike","","","","2020-12-09","","12983.6298828125","190","674","406.992","","0.603394687175751","5.97700023651123","","64","","133","153","","","0.761220835834484","36.21","24","10","2","0","0","","","","","","3","7","8","4","2","2","1","","","","",""
"","Bike","","","","2020-12-10","","7969.5400390625","174","659","235.557","","0.381315261125565","5.80600023269653","","60","","121","148","","","0.71216623405459","19.53","19","1","0","0","0","","","","","","3","5","4","2","1","1","0","","","","",""
"Endurance 3x(10' Z3/Z5) indoor","Bike","","0.983333333333333","","2020-12-10","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","32881.640625","213","350","756.177","","0.984359741210938","9.2790002822876","","79","","134","150","","","0.786622052708884","60.37","30","21","8","0","0","","","","","","7","23","22","8","0","0","0","","","","4","3"
"Cycling","Bike","","","","2020-12-10","","11919.0703125","182","553","357.567","","0.552615284919739","5.99100017547607","","65","","134","154","","","0.734699308787896","29.98","18","11","4","0","0","","","","","","3","9","8","3","1","1","1","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Pull in Z2 + 5 secs rest), 2 x (100 FS in Z2 + 100 Drill in Z2 + 5 sec rests). Main Set: 1 x (400 Pull in Z2 + 10 secs rest), 4 x (100 FS in Z3 + 5 sec rests), 2 x (200 Pull in Z2 + 5 sec rests), 4 x (100 FS in Z3 + 5 sec rests). Warm Down: 2 x (50 Back in Z2 + 50 Breast in Z2) + 5 secs rest, 1 x (100 Pull in Z2 + 100 Choice in Z2).","0.760555555555556","2600","2020-12-11","","2400","","","","","0.653167503145006","1.01694915254237","","29","","131","162","","","0.969633869235424","59.55","25","8","3","2","0","","","","","","","","","","","","","","","","",""
"warm up","Run","BT: Track. Warm up +4 strides. Then 5 x 1000m (recover for 500m) at 5 seconds/400 <5k pace. Form! Quick cadence! heart rates? Times?","0.25","","2020-12-11","","3076.11010742188","298","406","267.726","","0.249072775244713","3.43099999427795","","90","","140","147","","","0.845498801690415","17.24","2","13","0","0","0","","","","","","1","13","1","0","0","","","","","","",""
"12x(400v/400p)","Run","Warm-up: - Start easy and gradually build up into mid to high Z2. - After 10"" include 4x ""30 sec. progressions into upper Z4 or Z5 with 2"" normal Z2 running in between Main Set: - 12x 400m veloce / 400m piano defa","1.00333333333333","","2020-12-11","","11110","317","401","971.943","","0.850833356380463","3.62700009346008","","90","","151","167","","","0.917490887623814","71.29","6","8","15","18","3","","","","","","6","20","11","13","0","","","","","","",""
"Rest Day","Day Off","Allows for recovery whilst promoting adaptation to previous training stresses. Helps you get faster and keep injuries at bay.","","","2020-12-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fondo 1h30","Bike","","1.5","","2020-12-13","","42349.03125","211","406","1014.558","","1.33728611469269","8.79699993133545","","76","","135","162","","","0.769105152543758","78.55","59","15","4","2","0","","","","","","6","44","22","6","2","1","0","","","","",""
"Base Phase 1 Week 3","Other","","","","2020-12-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
